x,y,space,comm_range,disruption_range,R,nb_tag_loc,sink_allocation,nb_sink,nb_ch,agregation,directory,dist_sink,max_queue
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-0.1/,0.1,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-0.71/,0.71,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-1.6/,1.6,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-2/,2,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-2.5/,2.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-3/,3,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-4/,4,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-4.5/,4.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-5/,5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-5.5/,5.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-6/,6,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-6.5/,6.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-7/,7,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-7.5/,7.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-8/,8,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-8.5/,8.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-9/,9,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-9.5/,9.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-10/,10,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-10.0/,10.0,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-11/,11,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-11.5/,11.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-12/,12,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-12.5/,12.5,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-13/,13,14
20,20,1,1.5,2,1,1,best,3,8,1,./result/ch8-agr1-sink3-dist-13.5/,13.5,14
